Gene	n.vars	mean.s	fdr	Tissue
EIF2B5	133	2.55453147752426	0.0246011926947447	B cells
EIF3M	88	2.76630577100418	0.0373437057991513	B cells
EIF4B	2	10.7543141177697	0.0108829348722176	B cells
EIF4E2	76	2.84867457179943	0.020293620292083	B cells
ELMOD2	54	2.91313787418552	0.00577219064276345	B cells
EML3	23	3.33841661019944	0.0289389842893679	B cells
ENDOV	50	3.36983139238615	0.00577219064276345	B cells
ERBB3	13	1.72114187558026	0.0289389842893679	B cells
ERCC5	43	3.3965189771521	0.00577219064276345	B cells
ERCC6	123	2.68155720811064	0.00577219064276345	B cells
ERN1	43	2.98558122940449	0.0332160316319195	B cells
ESPL1	22	3.80226255319371	0.0108829348722176	B cells
EWSR1	95	2.68797786544393	0.0246011926947447	B cells
EXOSC1	13	3.96031095518985	0.0246011926947447	B cells
EXT2	284	1.93873726944676	0.0455206896551724	B cells
FAAP100	31	3.37221677364645	0.00577219064276345	B cells
FAM126B	254	2.308192636369	0.00577219064276345	B cells
FAM168B	50	2.94219131102454	0.0415561385099685	B cells
FAM206A	48	2.68087481973442	0.0157154761904762	B cells
FAM221A	74	2.76716330981202	0.00577219064276345	B cells
FAM26F	60	2.65492337449182	0.0246011926947447	B cells
FAM65A	108	2.90270012182036	0.00577219064276345	B cells
FANCE	25	3.22090856017563	0.0373437057991513	B cells
FASN	212	2.45432721496857	0.020293620292083	B cells
FASTKD2	46	3.27506403444759	0.00577219064276345	B cells
FBRSL1	834	2.27538461502171	0.0108829348722176	B cells
FBXL17	9	4.39222472975871	0.020293620292083	B cells
FBXO21	100	2.52343448664326	0.0332160316319195	B cells
FBXO25	84	2.67762386085929	0.020293620292083	B cells
FBXO30	60	3.03570821621133	0.00577219064276345	B cells
FBXW11	422	2.28337274755276	0.0455206896551724	B cells
FBXW4	3	7.87106402507141	0.0157154761904762	B cells
FER	7	3.0123822272447	0.0373437057991513	B cells
FGFR1OP2	66	3.02853145971435	0.0157154761904762	B cells
FIP1L1	248	2.3570068946272	0.0415561385099685	B cells
FKBP5	2	11.5661559711512	0.0108829348722176	B cells
FKTN	2	14.7982092517401	0.00577219064276345	B cells
FLI1	5	5.58528774400511	0.0332160316319195	B cells
FLVCR2	180	2.60423975050624	0.00577219064276345	B cells
FNDC7	70	2.66679035029284	0.0246011926947447	B cells
FOXK1	218	2.53022190069824	0.0108829348722176	B cells
FOXO1	95	2.77461550562353	0.020293620292083	B cells
FYTTD1	88	2.75562140543051	0.020293620292083	B cells
GAB1	70	0.766008097234626	0.0289389842893679	B cells
GABRR2	156	2.1316054784152	0.020293620292083	B cells
GALE	3	6.75346675540053	0.00577219064276345	B cells
GALNT7	2	14.9536043730236	0.0157154761904762	B cells
GFOD2	33	3.2169226874517	0.0157154761904762	B cells
GFPT1	9	4.90776571283864	0.0108829348722176	B cells
GHITM	53	3.29119972215928	0.00577219064276345	B cells
GLRX3	124	3.01471059183723	0.00577219064276345	B cells
GMFB	75	3.13173350827627	0.0373437057991513	B cells
GNA12	212	2.46414690629387	0.0246011926947447	B cells
GNAI3	35	3.46622903686853	0.00577219064276345	B cells
GNB1	133	2.51467956791432	0.020293620292083	B cells
GNGT2	18	3.02003272842501	0.0494756388415673	B cells
GORAB	51	2.81645470429917	0.00577219064276345	B cells
GPN1	107	2.74305477914599	0.0108829348722176	B cells
GPR180	133	2.52419593789765	0.020293620292083	B cells
GRAMD1B	157	1.77693056123309	0.00577219064276345	B cells
GRAMD3	10	3.96300334314224	0.0494756388415673	B cells
GRAP2	176	2.54992027524592	0.00577219064276345	B cells
GRASP	6	5.29565084082546	0.0246011926947447	B cells
GRHPR	20	2.59561938562726	0.0108829348722176	B cells
GRK4	191	2.66648870189503	0.00577219064276345	B cells
GTF2A1	91	2.63663711669803	0.0157154761904762	B cells
GTF2A2	37	3.31598662198895	0.0246011926947447	B cells
GTF2H5	42	3.20191784088651	0.0157154761904762	B cells
GTPBP8	40	2.96712283904285	0.0494756388415673	B cells
HDAC8	66	2.66137649232769	0.0332160316319195	B cells
HDDC2	55	2.56700647248779	0.0246011926947447	B cells
HECA	128	2.65576221321818	0.0157154761904762	B cells
HENMT1	80	2.14751444633478	0.020293620292083	B cells
HERC2	408	2.31093909905555	0.0373437057991513	B cells
HGH1	13	3.27602008029324	0.00577219064276345	B cells
HIPK1	88	3.02179314393041	0.00577219064276345	B cells
HIST1H3A	39	3.143844815917	0.0157154761904762	B cells
HMGN2P46	32	3.65340427565867	0.0108829348722176	B cells
HMGXB4	35	3.21077944810327	0.0108829348722176	B cells
HNRNPC	62	2.46689667818988	0.020293620292083	B cells
HNRNPD	63	2.78300462676519	0.0455206896551724	B cells
HSD11B2	4	7.06300948252858	0.0246011926947447	B cells
HSF2BP	123	2.22668552892882	0.0289389842893679	B cells
HSPA9	75	2.85757363599712	0.0289389842893679	B cells
ID2	5	5.89342448384884	0.0246011926947447	B cells
IDH3B	43	3.03622242767506	0.00577219064276345	B cells
IFITM5	5	4.15779430195174	0.0246011926947447	B cells
IGF1R	617	2.17871869828216	0.0108829348722176	B cells
IGFBP2	48	1.75186711019356	0.0246011926947447	B cells
IL10RB	32	3.19809879362489	0.0157154761904762	B cells
IL15RA	10	4.40472519938233	0.020293620292083	B cells
IL2RA	67	3.06493088344169	0.020293620292083	B cells
IMMT	101	2.64261159782414	0.0455206896551724	B cells
INPP5A	568	2.19650489119108	0.0157154761904762	B cells
INPP5E	44	2.55346869055234	0.0246011926947447	B cells
INSIG1	37	2.50149890194487	0.0415561385099685	B cells
IRF2	217	2.49818526975959	0.0108829348722176	B cells
IRS4	94	2.57630573746496	0.0455206896551724	B cells
ITGA2B	52	3.93089587568628	0.00577219064276345	B cells
ITGAD	51	3.20064049703401	0.00577219064276345	B cells
ITK	149	2.56684047550948	0.0108829348722176	B cells
IVD	68	2.44897130564309	0.0494756388415673	B cells
JOSD1	69	2.65622282293693	0.0157154761904762	B cells
JPH2	30	2.22389586091898	0.00577219064276345	B cells
KCNB1	85	1.41313878983072	0.0108829348722176	B cells
KCNK7	6	4.87195932405369	0.0246011926947447	B cells
KCNMB4	18	1.72213528525002	0.0157154761904762	B cells
KCTD20	53	2.8611282087067	0.0289389842893679	B cells
KIAA0232	291	2.33555267590599	0.0494756388415673	B cells
KIAA0355	176	2.42113890858494	0.0108829348722176	B cells
KIAA0391	224	2.49113193115824	0.00577219064276345	B cells
KLHDC1	87	2.59200526673402	0.020293620292083	B cells
KLHDC2	75	2.93552373338647	0.0108829348722176	B cells
KLHL11	17	3.57965469734986	0.0157154761904762	B cells
KLHL6	100	3.1204035120196	0.0108829348722176	B cells
KNOP1	43	3.04757924086513	0.0246011926947447	B cells
KRAS	24	4.04197327396543	0.00577219064276345	B cells
LAMP3	87	3.07663272964498	0.0157154761904762	B cells
LAPTM5	48	3.21436604302207	0.00577219064276345	B cells
LARS2	4	8.84432654121892	0.00577219064276345	B cells
LAT2	52	2.37616364845279	0.0246011926947447	B cells
LENG9L7	3	6.7555430773602	0.0455206896551724	B cells
LHPP	197	2.21288790318168	0.0108829348722176	B cells
LIPA	54	2.97627436447891	0.020293620292083	B cells
LIPH	22	2.52815515574131	0.0289389842893679	B cells
LMAN2L	15	3.49102221570891	0.0332160316319195	B cells
LOC100857706	13	3.70621782417398	0.0332160316319195	B cells
LOC100857766	8	6.25202495521962	0.00577219064276345	B cells
LOC100858196	13	5.62717614781024	0.0108829348722176	B cells
LOC100858386	17	2.68023359581159	0.0108829348722176	B cells
LOC100858937	124	2.25324002065552	0.0108829348722176	B cells
LOC100859314	29	3.32297216948186	0.00577219064276345	B cells
LOC101747260	12	3.48675382614429	0.0289389842893679	B cells
LOC101747293	32	3.16796835162102	0.020293620292083	B cells
LOC101747367	84	1.9324344058447	0.0246011926947447	B cells
LOC101747821	17	4.87993259321232	0.00577219064276345	B cells
LOC101748210	14	3.80441470800841	0.0289389842893679	B cells
LOC101748569	96	2.46000612858882	0.0108829348722176	B cells
LOC101749809	188	2.48370488389438	0.00577219064276345	B cells
LOC101749832	100	1.94119351334277	0.020293620292083	B cells
LOC101749913	16	3.50445072514314	0.0157154761904762	B cells
LOC101750152	21	2.98622829319245	0.020293620292083	B cells
LOC101750196	3	8.22677364873915	0.0289389842893679	B cells
LOC101750993	45	3.12185544454213	0.0415561385099685	B cells
LOC101751271	21	3.41752069888941	0.020293620292083	B cells
LOC101751749	9	5.80706088970015	0.00577219064276345	B cells
LOC101752139	8	4.22406578261428	0.0108829348722176	B cells
LOC101752262	9	4.10548603344081	0.0415561385099685	B cells
LOC107049500	6	5.6826249088673	0.020293620292083	B cells
LOC107049501	4	5.62556925743712	0.0332160316319195	B cells
LOC107049798	8	4.82855338123619	0.0157154761904762	B cells
LOC107049808	16	3.11270067243789	0.020293620292083	B cells
LOC107049933	6	6.05086758561776	0.0108829348722176	B cells
LOC107050163	39	3.32147753055945	0.00577219064276345	B cells
LOC107050226	13	2.34123775537586	0.0494756388415673	B cells
LOC107050328	12	4.73008222236359	0.00577219064276345	B cells
LOC107050509	47	1.99357129329935	0.00577219064276345	B cells
LOC107050620	5	7.71145066688395	0.00577219064276345	B cells
LOC107050751	13	2.29987005608559	0.0455206896551724	B cells
LOC107050915	12	2.73602649808483	0.0289389842893679	B cells
LOC107051471	5	6.84749077830862	0.0246011926947447	B cells
LOC107051524	2	10.2414682101416	0.0108829348722176	B cells
LOC107051702	37	3.05255506340496	0.0246011926947447	B cells
LOC107051868	23	2.9023901478859	0.0108829348722176	B cells
LOC107052450	9	5.50406072260864	0.00577219064276345	B cells
LOC107052453	6	5.11128343956619	0.0246011926947447	B cells
LOC107052689	61	2.95459721625082	0.00577219064276345	B cells
LOC107052755	76	2.53359759131482	0.020293620292083	B cells
LOC107053484	9	4.89927273281699	0.0455206896551724	B cells
LOC107053486	74	2.72550817675753	0.00577219064276345	B cells
LOC107053557	42	2.96248896494513	0.0246011926947447	B cells
LOC107053702	53	2.6376202101383	0.0494756388415673	B cells
LOC107053706	103	2.61989037071222	0.0373437057991513	B cells
LOC107053920	61	2.75768620989976	0.0332160316319195	B cells
LOC107053979	9	2.88566857092067	0.0415561385099685	B cells
LOC107054144	2	9.2102508245187	0.0289389842893679	B cells
LOC107054352	29	1.30336996592875	0.00577219064276345	B cells
LOC107054608	115	2.61752684687694	0.0246011926947447	B cells
LOC107054727	54	3.10347324583557	0.00577219064276345	B cells
LOC107054741	19	3.57393613729595	0.0415561385099685	B cells
LOC107054955	6	5.37477207833792	0.00577219064276345	B cells
LOC107055388	11	4.48136807517765	0.0108829348722176	B cells
LOC107055446	2	9.09576409025655	0.0246011926947447	B cells
LOC107055625	7	4.74205683347611	0.00577219064276345	B cells
LOC107055678	17	4.17831841748365	0.00577219064276345	B cells
LOC107057175	3	5.2872080507826	0.0246011926947447	B cells
LOC107057545	9	4.34334651194857	0.020293620292083	B cells
LOC112529948	14	3.27838012956875	0.0246011926947447	B cells
LOC112530142	12	4.13038206655831	0.020293620292083	B cells
LOC112530431	44	3.15955851298646	0.00577219064276345	B cells
LOC112530777	4	5.03797352205805	0.0289389842893679	B cells
LOC112531211	30	3.4649907843738	0.00577219064276345	B cells
LOC112531224	6	5.77465606508341	0.00577219064276345	B cells
LOC112531360	22	3.17837862693171	0.0289389842893679	B cells
LOC112531511	6	4.15611451951809	0.0246011926947447	B cells
LOC112531915	11	2.65428068390307	0.0289389842893679	B cells
LOC112531945	225	2.47259174202322	0.0108829348722176	B cells
LOC112532331	40	3.06845610002014	0.020293620292083	B cells
LOC112532392	8	3.7857404655555	0.0373437057991513	B cells
LOC112532842	110	2.72780277378397	0.00577219064276345	B cells
LOC112532918	46	3.03923580906642	0.020293620292083	B cells
LOC112533173	61	3.14412942782352	0.00577219064276345	B cells
LOC112533356	4	4.06292590917305	0.0455206896551724	B cells
LOC112533366	36	2.86823676232541	0.020293620292083	B cells
LOC112533551	31	2.02058704286371	0.0373437057991513	B cells
LOC120017337	34	3.45188982101139	0.00577219064276345	B cells
LOC121106457	23	3.3580345453055	0.0415561385099685	B cells
LOC121106507	11	3.98737572325393	0.020293620292083	B cells
LOC121106617	2	10.1996103849649	0.0108829348722176	B cells
LOC121106625	3	10.3417743456648	0.00577219064276345	B cells
LOC121106626	5	4.69898582346584	0.00577219064276345	B cells
LOC121106637	27	2.77457962612665	0.0494756388415673	B cells
LOC121106676	139	2.48475431401828	0.0373437057991513	B cells
LOC121106849	19	2.45077815954254	0.0246011926947447	B cells
LOC121106925	5	5.27188980336382	0.0494756388415673	B cells
LOC121107026	9	5.55505478300865	0.00577219064276345	B cells
LOC121107125	28	3.09552648001507	0.0455206896551724	B cells
LOC121107292	91	2.51840885678293	0.0494756388415673	B cells
LOC121107415	22	2.11018652690136	0.00577219064276345	B cells
LOC121107462	21	3.21535301457465	0.0108829348722176	B cells
LOC121107531	31	3.01162409080506	0.0455206896551724	B cells
LOC121107542	3	7.45772548628076	0.020293620292083	B cells
LOC121107742	73	2.80133225495754	0.0157154761904762	B cells
LOC121107810	11	3.78853838403567	0.0246011926947447	B cells
LOC121107871	22	2.01941528390246	0.0415561385099685	B cells
LOC121107874	8	2.65429109880724	0.0332160316319195	B cells
LOC121108142	7	4.03097123078682	0.0246011926947447	B cells
LOC121108351	21	1.94962229091224	0.0455206896551724	B cells
LOC121108470	30	3.35104927332016	0.0108829348722176	B cells
LOC121108520	3	7.92775534302036	0.0157154761904762	B cells
LOC121108711	11	3.62380125221293	0.0108829348722176	B cells
LOC121108714	14	3.49536847723145	0.00577219064276345	B cells
LOC121109036	6	6.33098878792135	0.0157154761904762	B cells
LOC121109130	30	2.60723497492436	0.0415561385099685	B cells
LOC121109170	10	2.21232185058952	0.0246011926947447	B cells
LOC121109258	19	1.48810394872691	0.0108829348722176	B cells
LOC121109326	16	4.13123507487487	0.00577219064276345	B cells
LOC121109479	160	2.43880060405574	0.0455206896551724	B cells
LOC121109495	23	3.91943382101904	0.00577219064276345	B cells
LOC121109530	4	6.99874604391678	0.020293620292083	B cells
LOC121109545	41	3.14536058719581	0.0157154761904762	B cells
LOC121109609	7	4.46751005225571	0.0157154761904762	B cells
LOC121109663	3	8.27453039073578	0.0415561385099685	B cells
LOC121109824	5	9.21732366331329	0.00577219064276345	B cells
LOC121109863	9	3.06473589712812	0.0455206896551724	B cells
LOC121109899	30	3.0802239899466	0.00577219064276345	B cells
LOC121109901	2	11.4642112081667	0.0108829348722176	B cells
LOC121109912	45	2.96454127601472	0.0332160316319195	B cells
LOC121109917	13	3.1448301294728	0.0415561385099685	B cells
LOC121109966	89	2.00706490739983	0.0415561385099685	B cells
LOC121110290	21	2.480361317937	0.0289389842893679	B cells
LOC121110379	21	3.45893316537472	0.020293620292083	B cells
LOC121110440	31	3.32394152864769	0.0157154761904762	B cells
LOC121110442	85	3.12516200521759	0.00577219064276345	B cells
LOC121110609	17	4.16669775261496	0.00577219064276345	B cells
LOC121110735	47	2.99134749035632	0.0157154761904762	B cells
LOC121110764	28	3.32498382330688	0.0108829348722176	B cells
LOC121110846	118	2.11587971455658	0.0289389842893679	B cells
LOC121110869	32	3.53641113445255	0.020293620292083	B cells
LOC121111051	19	3.16246523987057	0.0246011926947447	B cells
LOC121111245	4	7.3981440584178	0.0157154761904762	B cells
LOC121111423	22	3.42421916411466	0.020293620292083	B cells
LOC121111516	6	5.87420477256743	0.00577219064276345	B cells
LOC121111582	36	3.44326561944346	0.00577219064276345	B cells
LOC121111633	8	4.98566730710378	0.0332160316319195	B cells
LOC121113127	35	3.32567161831841	0.00577219064276345	B cells
LOC121113157	19	3.60808059921196	0.0494756388415673	B cells
LOC121113278	34	3.60582708422544	0.0108829348722176	B cells
LOC121113281	11	3.0776623094181	0.020293620292083	B cells
LOC121113304	10	4.82558284131356	0.0108829348722176	B cells
LOC121113330	9	3.02398271486684	0.0455206896551724	B cells
LOC121113363	10	4.28126255284507	0.0157154761904762	B cells
LOC121113411	4	7.01295027841816	0.0157154761904762	B cells
LOC415472	281	2.1440239158862	0.00577219064276345	B cells
LOC417447	13	3.76010223597223	0.00577219064276345	B cells
LOC418927	98	2.83611323596603	0.00577219064276345	B cells
LOC419404	42	3.34779432408345	0.0157154761904762	B cells
LOC419429	51	2.96265174314789	0.0373437057991513	B cells
LOC420374	19	3.33338083072102	0.0289389842893679	B cells
LOC421856	18	4.23664917038949	0.00577219064276345	B cells
LOC422295	20	1.6618169043884	0.0332160316319195	B cells
LOC426097	20	3.73300965894722	0.0157154761904762	B cells
LOC427545	15	3.7623939706119	0.0373437057991513	B cells
LOC768416	8	6.26226707117385	0.00577219064276345	B cells
LOC768614	2	8.11186199526614	0.0108829348722176	B cells
LOC770936	33	2.79911185449996	0.0157154761904762	B cells
LOC776018	4	6.99400088564385	0.00577219064276345	B cells
LONP2	80	2.66081853336204	0.0108829348722176	B cells
LRCH1	123	2.13165568249408	0.020293620292083	B cells
LRRC8D	241	2.48431931891082	0.00577219064276345	B cells
LRRK2	166	1.45340794132218	0.0289389842893679	B cells
LSM12	27	3.23096461830297	0.0108829348722176	B cells
LSMEM1	68	2.8198101336731	0.0246011926947447	B cells
